dateTime,day,small_area,weather_forecast_type,hour,Accident,count
2022-07-06 04:00:00,2,Bedok,Rain,4,L,0
2022-07-06 04:00:00,2,Bishan,Rain,4,L,0
2022-07-06 04:00:00,2,Boon Lay,Rain,4,L,0
2022-07-06 04:00:00,2,Bukit Batok,Rain,4,L,0
2022-07-06 04:00:00,2,Bukit Merah,Rain,4,L,0
2022-07-06 04:00:00,2,Bukit Panjang,Rain,4,L,0
2022-07-06 04:00:00,2,Bukit Timah,Rain,4,L,0
2022-07-06 04:00:00,2,Central Water Catchment,Rain,4,L,0
2022-07-06 04:00:00,2,Changi,Rain,4,L,0
2022-07-06 04:00:00,2,Choa Chu Kang,Rain,4,L,0
2022-07-06 04:00:00,2,Clementi,Rain,4,L,0
2022-07-06 04:00:00,2,City,Rain,4,L,0
2022-07-06 04:00:00,2,Geylang,Rain,4,L,0
2022-07-06 04:00:00,2,Hougang,Rain,4,L,0
2022-07-06 04:00:00,2,Jalan Bahar,Rain,4,L,0
2022-07-06 04:00:00,2,Jurong East,Rain,4,L,0
2022-07-06 04:00:00,2,Jurong Island,Rain,4,L,0
2022-07-06 04:00:00,2,Jurong West,Rain,4,L,0
2022-07-06 04:00:00,2,Kallang,Rain,4,L,0
2022-07-06 04:00:00,2,Lim Chu Kang,Rain,4,L,0
2022-07-06 04:00:00,2,Mandai,Rain,4,L,0
2022-07-06 04:00:00,2,Marine Parade,Rain,4,L,0
2022-07-06 04:00:00,2,Novena,Rain,4,L,0
2022-07-06 04:00:00,2,Pasir Ris,Rain,4,L,0
2022-07-06 04:00:00,2,Paya Lebar,Rain,4,L,0
2022-07-06 04:00:00,2,Pioneer,Rain,4,L,0
2022-07-06 04:00:00,2,Pulau Tekong,Rain,4,L,0
2022-07-06 04:00:00,2,Pulau Ubin,Rain,4,L,0
2022-07-06 04:00:00,2,Punggol,Rain,4,L,0
2022-07-06 04:00:00,2,Queenstown,Rain,4,L,0
2022-07-06 04:00:00,2,Seletar,Rain,4,L,0
2022-07-06 04:00:00,2,Sembawang,Rain,4,L,0
2022-07-06 04:00:00,2,Sengkang,Rain,4,L,0
2022-07-06 04:00:00,2,Sentosa,Rain,4,L,0
2022-07-06 04:00:00,2,Serangoon,Rain,4,L,0
2022-07-06 04:00:00,2,Southern Islands,Rain,4,L,0
2022-07-06 04:00:00,2,Sungei Kadut,Rain,4,L,0
2022-07-06 04:00:00,2,Tampines,Rain,4,L,0
2022-07-06 04:00:00,2,Tanglin,Rain,4,L,0
2022-07-06 04:00:00,2,Tengah,Rain,4,L,0
2022-07-06 04:00:00,2,Toa Payoh,Rain,4,L,0
2022-07-06 04:00:00,2,Tuas,Rain,4,L,0
2022-07-06 04:00:00,2,Western Islands,Rain,4,L,0
2022-07-06 04:00:00,2,Western Water Catchment,Rain,4,L,0
2022-07-06 04:00:00,2,Woodlands,Rain,4,L,0
2022-07-06 04:00:00,2,Yishun,Rain,4,L,0
2022-07-06 05:00:00,2,Ang Mo Kio,Rain,5,L,0
2022-07-06 05:00:00,2,Bedok,Rain,5,L,0
2022-07-06 05:00:00,2,Bishan,Rain,5,L,0
2022-07-06 05:00:00,2,Boon Lay,Rain,5,L,0
2022-07-06 05:00:00,2,Bukit Batok,Rain,5,L,0
2022-07-06 05:00:00,2,Bukit Merah,Rain,5,L,0
2022-07-06 05:00:00,2,Bukit Panjang,Rain,5,L,0
2022-07-06 05:00:00,2,Bukit Timah,Rain,5,L,0
2022-07-06 05:00:00,2,Central Water Catchment,Rain,5,L,0
2022-07-06 05:00:00,2,Changi,Rain,5,L,0
2022-07-06 05:00:00,2,Choa Chu Kang,Rain,5,L,0
2022-07-06 05:00:00,2,Clementi,Rain,5,L,0
2022-07-06 05:00:00,2,City,Rain,5,L,0
2022-07-06 05:00:00,2,Geylang,Rain,5,L,0
2022-07-06 05:00:00,2,Hougang,Rain,5,L,0
2022-07-06 05:00:00,2,Jalan Bahar,Rain,5,L,0
2022-07-06 05:00:00,2,Jurong East,Rain,5,L,0
2022-07-06 05:00:00,2,Jurong Island,Rain,5,L,0
2022-07-06 05:00:00,2,Jurong West,Rain,5,L,0
2022-07-06 05:00:00,2,Kallang,Rain,5,L,0
2022-07-06 05:00:00,2,Lim Chu Kang,Rain,5,L,0
2022-07-06 05:00:00,2,Mandai,Rain,5,L,0
2022-07-06 05:00:00,2,Marine Parade,Rain,5,L,0
2022-07-06 05:00:00,2,Novena,Rain,5,L,0
2022-07-06 05:00:00,2,Pasir Ris,Rain,5,L,0
2022-07-06 05:00:00,2,Paya Lebar,Rain,5,L,0
2022-07-06 05:00:00,2,Pioneer,Rain,5,L,0
2022-07-06 05:00:00,2,Pulau Tekong,Rain,5,L,0
2022-07-06 05:00:00,2,Pulau Ubin,Rain,5,L,0
2022-07-06 05:00:00,2,Punggol,Rain,5,L,0
2022-07-06 05:00:00,2,Queenstown,Rain,5,L,0
2022-07-06 05:00:00,2,Seletar,Rain,5,L,0
2022-07-06 05:00:00,2,Sembawang,Rain,5,L,0
2022-07-06 05:00:00,2,Sengkang,Rain,5,L,0
2022-07-06 05:00:00,2,Sentosa,Rain,5,L,0
2022-07-06 05:00:00,2,Serangoon,Rain,5,L,0
2022-07-06 05:00:00,2,Southern Islands,Rain,5,L,0
2022-07-06 05:00:00,2,Sungei Kadut,Rain,5,L,0
2022-07-06 05:00:00,2,Tampines,Rain,5,L,0
2022-07-06 05:00:00,2,Tanglin,Rain,5,L,0
2022-07-06 05:00:00,2,Tengah,Rain,5,L,0
2022-07-06 05:00:00,2,Toa Payoh,Rain,5,L,0
2022-07-06 05:00:00,2,Tuas,Rain,5,L,0
2022-07-06 05:00:00,2,Western Islands,Rain,5,L,0
2022-07-06 05:00:00,2,Western Water Catchment,Rain,5,L,0
2022-07-06 05:00:00,2,Woodlands,Rain,5,L,0
2022-07-06 05:00:00,2,Yishun,Rain,5,L,0
2022-07-06 06:00:00,2,Ang Mo Kio,Rain,6,L,0
2022-07-06 06:00:00,2,Bedok,Rain,6,L,0
2022-07-06 06:00:00,2,Bishan,Rain,6,L,0
2022-07-06 06:00:00,2,Boon Lay,Rain,6,L,0
2022-07-06 06:00:00,2,Bukit Batok,Rain,6,L,0
2022-07-06 06:00:00,2,Bukit Merah,Rain,6,L,0
2022-07-06 06:00:00,2,Bukit Panjang,Rain,6,L,0
2022-07-06 06:00:00,2,Bukit Timah,Rain,6,L,0
2022-07-06 06:00:00,2,Central Water Catchment,Rain,6,L,0
2022-07-06 06:00:00,2,Changi,Rain,6,L,0
2022-07-06 06:00:00,2,Choa Chu Kang,Rain,6,L,0
2022-07-06 06:00:00,2,Clementi,Rain,6,L,0
2022-07-06 06:00:00,2,City,Rain,6,L,0
2022-07-06 06:00:00,2,Geylang,Rain,6,L,0
2022-07-06 06:00:00,2,Hougang,Rain,6,L,0
2022-07-06 06:00:00,2,Jalan Bahar,Rain,6,L,0
2022-07-06 06:00:00,2,Jurong East,Rain,6,L,0
2022-07-06 06:00:00,2,Jurong Island,Rain,6,L,0
2022-07-06 06:00:00,2,Jurong West,Rain,6,L,0
2022-07-06 06:00:00,2,Kallang,Rain,6,L,0
2022-07-06 06:00:00,2,Lim Chu Kang,Rain,6,L,0
2022-07-06 06:00:00,2,Mandai,Rain,6,L,0
2022-07-06 06:00:00,2,Marine Parade,Rain,6,L,0
2022-07-06 06:00:00,2,Novena,Rain,6,L,0
2022-07-06 06:00:00,2,Pasir Ris,Rain,6,L,0
2022-07-06 06:00:00,2,Paya Lebar,Rain,6,L,0
2022-07-06 06:00:00,2,Pioneer,Rain,6,L,0
2022-07-06 06:00:00,2,Pulau Tekong,Rain,6,L,0
2022-07-06 06:00:00,2,Pulau Ubin,Rain,6,L,0
2022-07-06 06:00:00,2,Punggol,Rain,6,L,0
2022-07-06 06:00:00,2,Queenstown,Rain,6,L,0
2022-07-06 06:00:00,2,Seletar,Rain,6,L,0
2022-07-06 06:00:00,2,Sembawang,Rain,6,L,0
2022-07-06 06:00:00,2,Sengkang,Rain,6,L,0
2022-07-06 06:00:00,2,Sentosa,Rain,6,L,0
2022-07-06 06:00:00,2,Serangoon,Rain,6,M,1
2022-07-06 06:00:00,2,Southern Islands,Rain,6,L,0
2022-07-06 06:00:00,2,Sungei Kadut,Rain,6,L,0
2022-07-06 06:00:00,2,Tampines,Rain,6,L,0
2022-07-06 06:00:00,2,Tanglin,Rain,6,L,0
2022-07-06 06:00:00,2,Tengah,Rain,6,L,0
2022-07-06 06:00:00,2,Toa Payoh,Rain,6,L,0
2022-07-06 06:00:00,2,Tuas,Rain,6,L,0
2022-07-06 06:00:00,2,Western Islands,Rain,6,L,0
2022-07-06 06:00:00,2,Western Water Catchment,Rain,6,L,0
2022-07-06 06:00:00,2,Woodlands,Rain,6,L,0
2022-07-06 06:00:00,2,Yishun,Rain,6,L,0
2022-07-06 07:00:00,2,Ang Mo Kio,Rain,7,L,0
2022-07-06 07:00:00,2,Bedok,Rain,7,L,0
2022-07-06 07:00:00,2,Bishan,Rain,7,L,0
2022-07-06 07:00:00,2,Boon Lay,Rain,7,L,0
2022-07-06 07:00:00,2,Bukit Batok,Rain,7,L,0
2022-07-06 07:00:00,2,Bukit Merah,Rain,7,L,0
2022-07-06 07:00:00,2,Bukit Panjang,Cloudy,7,M,1
2022-07-06 07:00:00,2,Bukit Timah,Rain,7,L,0
2022-07-06 07:00:00,2,Central Water Catchment,Rain,7,L,0
2022-07-06 07:00:00,2,Changi,Rain,7,L,0
2022-07-06 07:00:00,2,Choa Chu Kang,Cloudy,7,M,1
2022-07-06 07:00:00,2,Clementi,Rain,7,M,1
2022-07-06 07:00:00,2,City,Rain,7,L,0
2022-07-06 07:00:00,2,Geylang,Rain,7,L,0
2022-07-06 07:00:00,2,Hougang,Rain,7,L,0
2022-07-06 07:00:00,2,Jalan Bahar,Cloudy,7,M,1
2022-07-06 07:00:00,2,Jurong East,Rain,7,H,2
2022-07-06 07:00:00,2,Jurong Island,Rain,7,L,0
2022-07-06 07:00:00,2,Jurong West,Cloudy,7,M,1
2022-07-06 07:00:00,2,Kallang,Rain,7,L,0
2022-07-06 07:00:00,2,Lim Chu Kang,Rain,7,L,0
2022-07-06 07:00:00,2,Mandai,Rain,7,L,0
2022-07-06 07:00:00,2,Marine Parade,Rain,7,L,0
2022-07-06 07:00:00,2,Novena,Rain,7,L,0
2022-07-06 07:00:00,2,Pasir Ris,Cloudy,7,H,3
2022-07-06 07:00:00,2,Paya Lebar,Rain,7,H,2
2022-07-06 07:00:00,2,Pioneer,Cloudy,7,M,1
2022-07-06 07:00:00,2,Pulau Tekong,Rain,7,L,0
2022-07-06 07:00:00,2,Pulau Ubin,Rain,7,L,0
2022-07-06 07:00:00,2,Punggol,Rain,7,L,0
2022-07-06 07:00:00,2,Queenstown,Rain,7,L,0
2022-07-06 07:00:00,2,Seletar,Rain,7,L,0
2022-07-06 07:00:00,2,Sembawang,Rain,7,L,0
2022-07-06 07:00:00,2,Sengkang,Rain,7,L,0
2022-07-06 07:00:00,2,Sentosa,Rain,7,L,0
2022-07-06 07:00:00,2,Serangoon,Rain,7,L,0
2022-07-06 07:00:00,2,Southern Islands,Rain,7,L,0
2022-07-06 07:00:00,2,Sungei Kadut,Rain,7,M,1
2022-07-06 07:00:00,2,Tampines,Rain,7,L,0
2022-07-06 07:00:00,2,Tanglin,Rain,7,L,0
2022-07-06 07:00:00,2,Tengah,Rain,7,L,0
2022-07-06 07:00:00,2,Toa Payoh,Rain,7,L,0
2022-07-06 07:00:00,2,Tuas,Rain,7,L,0
2022-07-06 07:00:00,2,Western Islands,Rain,7,L,0
2022-07-06 07:00:00,2,Western Water Catchment,Rain,7,L,0
2022-07-06 07:00:00,2,Woodlands,Rain,7,H,2
2022-07-06 07:00:00,2,Yishun,Rain,7,L,0
2022-07-06 08:00:00,2,Ang Mo Kio,Cloudy,8,L,0
2022-07-06 08:00:00,2,Bedok,Cloudy,8,L,0
2022-07-06 08:00:00,2,Bishan,Cloudy,8,L,0
2022-07-06 08:00:00,2,Boon Lay,Cloudy,8,L,0
2022-07-06 08:00:00,2,Bukit Batok,Cloudy,8,L,0
2022-07-06 08:00:00,2,Bukit Merah,Cloudy,8,L,0
2022-07-06 08:00:00,2,Bukit Panjang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Bukit Timah,Cloudy,8,L,0
2022-07-06 08:00:00,2,Central Water Catchment,Cloudy,8,L,0
2022-07-06 08:00:00,2,Changi,Cloudy,8,L,0
2022-07-06 08:00:00,2,Choa Chu Kang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Clementi,Cloudy,8,L,0
2022-07-06 08:00:00,2,City,Cloudy,8,M,1
2022-07-06 08:00:00,2,Geylang,Cloudy,8,M,1
2022-07-06 08:00:00,2,Hougang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Jalan Bahar,Cloudy,8,L,0
2022-07-06 08:00:00,2,Jurong East,Cloudy,8,L,0
2022-07-06 08:00:00,2,Jurong Island,Cloudy,8,L,0
2022-07-06 08:00:00,2,Jurong West,Cloudy,8,L,0
2022-07-06 08:00:00,2,Kallang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Lim Chu Kang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Mandai,Cloudy,8,L,0
2022-07-06 08:00:00,2,Marine Parade,Cloudy,8,L,0
2022-07-06 08:00:00,2,Novena,Cloudy,8,L,0
2022-07-06 08:00:00,2,Pasir Ris,Cloudy,8,L,0
2022-07-06 08:00:00,2,Paya Lebar,Cloudy,8,L,0
2022-07-06 08:00:00,2,Pioneer,Cloudy,8,L,0
2022-07-06 08:00:00,2,Pulau Tekong,Cloudy,8,L,0
2022-07-06 08:00:00,2,Pulau Ubin,Cloudy,8,L,0
2022-07-06 08:00:00,2,Punggol,Cloudy,8,L,0
2022-07-06 08:00:00,2,Queenstown,Cloudy,8,L,0
2022-07-06 08:00:00,2,Seletar,Cloudy,8,L,0
2022-07-06 08:00:00,2,Sembawang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Sengkang,Cloudy,8,L,0
2022-07-06 08:00:00,2,Sentosa,Cloudy,8,L,0
2022-07-06 08:00:00,2,Serangoon,Cloudy,8,M,1
2022-07-06 08:00:00,2,Southern Islands,Cloudy,8,L,0
2022-07-06 08:00:00,2,Sungei Kadut,Cloudy,8,L,0
2022-07-06 08:00:00,2,Tampines,Cloudy,8,L,0
2022-07-06 08:00:00,2,Tanglin,Cloudy,8,L,0
2022-07-06 08:00:00,2,Tengah,Cloudy,8,L,0
2022-07-06 08:00:00,2,Toa Payoh,Cloudy,8,L,0
2022-07-06 08:00:00,2,Tuas,Cloudy,8,L,0
2022-07-06 08:00:00,2,Western Islands,Cloudy,8,L,0
2022-07-06 08:00:00,2,Western Water Catchment,Cloudy,8,L,0
2022-07-06 08:00:00,2,Woodlands,Cloudy,8,L,0
2022-07-06 08:00:00,2,Yishun,Cloudy,8,L,0
2022-07-06 09:00:00,2,Ang Mo Kio,Cloudy,9,L,0
2022-07-06 09:00:00,2,Bedok,Cloudy,9,L,0
2022-07-06 09:00:00,2,Bishan,Cloudy,9,L,0
2022-07-06 09:00:00,2,Boon Lay,Cloudy,9,L,0
2022-07-06 09:00:00,2,Bukit Batok,Cloudy,9,L,0
2022-07-06 09:00:00,2,Bukit Merah,Cloudy,9,L,0
2022-07-06 09:00:00,2,Bukit Panjang,Cloudy,9,L,0
